Barcode,ISBN,Resource Type,Section,Title,Author,Status,# times Checked Out,Accession Date
236229,9781406381214,Books,child adv. read,Cloud Boy,"Williams, Marcia , 1945- , author.",,0,1/7/2021
8920,9780060930868,Books,Fiction,Cloudsplitter,"Banks, Russell",,2,11/12/2015
2827,0689707495,Books,pic. books pape,Cloudy With A Chance Of Meatballs,"Barrett, Judi.",,2,10/1/2015
6272,,Books,Non-fiction,"Clover collection of verse., The","Petry, Evelyn , comp.",,0,11/5/2015
12898,,DVDs,DVD,Cloverfield,,,5,12/14/2015
3543,,Puzzles,Puzzles,Clownfish,,,4,3/18/2016
21353,9780441010516,Books,Fiction,Club Dead,"Harris, Charlaine",,0,10/13/2018
12099,9780156032834,Books,Fiction,"Club Dumas, The","PeÅrez-Reverte, Arturo.",,8,12/7/2015
1400,0684845768,Books,Hardcover fict,Coast Road,"Delinsky, Barbara.",,4,9/19/2015
7251,9780375725937,Books,Non-fiction,Coasting,"Raban, Jonathan.",,0,11/10/2015
17600,9780399156809,Books,Hardcover fict,"cobra, The","Forsyth, Frederick , 1938-",,6,2/13/2017
8929,9780006550648,Books,Fiction,Cocaine Nights,"Ballard, J G",,4,4/29/2016
22994,9780345807151,Books,Fiction,Cockroaches,"Nesbo, Jo",,23,12/4/2015
10972,9780552776745,Books,Fiction,Cocktails For Three,"Kinsella, Sophie",,0,5/24/2019
300131,,DVDs,DVD,Coco,,,0,2/2/2021
19741,9780007319046,Books,Non-fiction,Coco Chanel,"Picardie, Justine",,3,3/24/2018
22389,9780143122128,Books,Non-fiction,Coco Chanel,"Chaney, Lisa",,1,1/20/2019
235870,9780545622424,Books,child inter rea,Coco the Cupcake Fairy,"Meadows, Daisy",,0,2/14/2020
614,9780380726301,Books,Fiction,Coconuts For The Saint,"Spark, Debra",,0,9/22/2015
16913,9780385732604,Books,Young Adult,Code Orange,"Cooney, Caroline B.",,0,2/1/2017
22800,9780451204530,Books,Fiction,Code To Zero,"Follett, Ken",,5,5/21/2018
5770,0932194214,Books,Non-fiction,Co-Dependency,"Friel, John C. , 1947-",,1,10/24/2015
9971,9780061173196,Books,Fiction,Codex 632,"Santos, JosÈ Rodrigues dos",,1,3/10/2018
235569,9781536200546,Books,child inter rea,Cody And The Rules Of Life,"Springstubb, Tricia",,0,12/16/2020
6878,9780898628470,Books,Non-fiction,Cognitive therapy,"Beck, Judith S.",,0,10/29/2015
6865,9780898621839,Books,Non-fiction,Cognitive-behavioral treatment of borderline personality disorder,"Linehan, Marsha.",,0,10/29/2015
7907,9780812558777,Books,Fantasy,Coils,"Zelazny, Roger.",,0,12/9/2015
22719,,Books,Judd Dolle,Coins of Mexico,"Utberg, Neil",,0,2/11/2019
8073,0441000185,Books,Science Fiction,Cold Allies,"Anthony, Patricia",,0,12/11/2015
20056,9781476745060,Books,Fiction,Cold Betrayal,"Jance, J.A.",,1,2/3/2018
1597,9781590582930,Books,Fiction,Cold Burn,"Ehrman, Kit",,3,9/19/2015
16048,042513301x,Books,Fiction,"cold day for murder, A","Stabenow, Dana.",,1,10/26/2016
22258,9781447278221,Books,Fiction,Cold Earth,"Cleeves, Ann",,5,1/7/2019
300626,9780007874361,Books,Fiction,Cold Granite,"MacBride, Stuart",,0,4/5/2021
21640,9781888451528,Books,Fiction,Cold Havana Ground,"Correa, Arnaldo , 1938-",,2,11/19/2018
16111,9780140295146,Books,Fiction,Cold Is the Grave,"Robinson, Peter",,3,12/9/2015
1425,0871136791,Books,Hardcover fict,Cold Mountain,"Frazier, Charles",,0,9/21/2015
16005,,DVDs,DVD,Cold Mountain,,,3,11/25/2016
11545,9780778326557,Books,Fiction,Cold river,"Neggers, Carla.",,1,12/4/2015
18075,9780440514428,Books,Fiction,Cold Sassy Tree,"Burns, Olive Ann",,1,6/21/2017
22533,9781558320789,Books,Non-fiction,Cold Soups,"Ziedrich, Linda",,0,1/28/2019
20359,9780349120973,Books,Non-fiction,Cold Steel,"Bouquet, Tim",,1,4/21/2018
15425,0671778803,Books,Non-fiction,Cold Warrior,"Mangold, Tom",,1,8/31/2016
21380,9780671042424,Books,Fiction,Cold Wars,"David, Peter",,0,10/15/2018
16951,9780425246917,Books,Fiction,Cold Wind,"Box, C. J.",,5,2/1/2017
8089,9780061030185,Books,Horror,Coldheart Canyon,"Barker, Clive",,3,12/14/2015
14226,9781569474426,Books,Hardcover fict,Collaborator of Bethlehem,"Rees, Matt Beynon",,1,2/20/2016
22129,9780140279511,Books,Non-fiction,Collapse,"Diamond, Jared",,0,12/28/2018
10933,9781420101874,Books,Fiction,Collateral Damage,"Michaels, Fern",,0,12/4/2015
235265,9780760784501,Books,Short Stories,"Collected Civil War Stories Of Ambrose Bierce, The","Bierce, Ambrose , 1842-1914?",,0,10/30/2020
22864,9780140286809,Books,Judd Dolle,Collected Fictions,"Borges, Jorge Luis , 1899-1986",,1,3/15/2019
20497,9780224080446,Books,Non-fiction,Collected Poems,"Longley, Michael",,0,5/7/2018
300483,0060153415,Books,Non-fiction,Collected Poems 1947-1980,"Ginsberg, Allen , 1926-1997.",,0,3/27/2021
6243,,Books,Non-fiction,"collected poems of A. E. Housman., The","Housman, A. E.  (Alfred Edward) , 1859-1936.",,1,11/5/2015
6590,0396013562,Books,Non-fiction,Collected Poems of Robert Service,"Service, Robert W.",,0,11/5/2015
7683,9781853264023,Books,Non-fiction,Collected Poems of Thomas Hardy,"Hardy, Thomas",,0,11/10/2015
22313,9780684860022,Books,,"Collected Poems, The","Price, Reynolds , 1933-2011.",,0,1/9/2019
6583,9780060909000,Books,Non-fiction,"collected poems, The","Plath, Sylvia.",,1,11/5/2015
19767,,Books,Short Stories,Collected short stories,"Maugham, W. Somerset",,2,3/24/2018
19766,,Books,Short Stories,Collected short stories,"Maugham, W. Somerset",,2,3/24/2018
7723,9780156188760,Books,Short Stories,"collected stories of Katherine Anne Porter., The","Porter, Katherine Anne , 1890-1980.",,1,11/14/2015
20090,9781566890502,Books,Non-fiction,Collected Works,"Metcalf, Paul C.",,0,2/3/2018
20089,9781566890564,Books,Non-fiction,Collected Works,"Metcalf, Paul",,0,2/3/2018
4466,9781590300305,Books,Non-fiction,"**Collected Works Of ChoÏàgyam Trungpa, The","Trungpa, ChoÃàgyam , 1939-1987.",,2,10/14/2015
20088,9781566890625,Books,Non-fiction,Collected Works Volume 3,"Metcalf, Paul C.",,0,2/3/2018
18762,9781598531497,Books,Non-fiction,"Collected Writings Of Joe Brainard, The","Brainard, Joe , 1942-1994.",,1,9/25/2017
6835,9780446400329,Books,Fiction,COLLECTORS,,,2,1/8/2016
299,9780060849979,Books,Judd Dolle - Re,Collins Atlas Of Military History.,,,0,9/4/2015
20097,9780007725038,Books,2nd language re,COLLINS EASY LEARNING SPANISH DICTIONARY.,"author., No",,1,2/3/2018
300216,9780007208791,Books,Judd Dolle - Re,Collins Thesaurus A-Z,"Baird, Jennifer.",,0,2/27/2021
13272,,Puzzles,Puzzles,Collosseum,,,5,2/3/2016
1229,9780195156850,Books,Judd Dolle,Colonial Latin America,"Burkholder, Mark A. , 1943-",,0,9/18/2015
8108,0812532457,Books,Science Fiction,Colony,"Bova, Ben",,0,12/11/2015
23064,9780676972153,Books,Fiction,"Colony Of Unrequited Dreams, The","Johnston, Wayne , author.",,1,4/5/2019
234007,9780060504144,Books,Fiction,"Color Of Death, The","Maxwell, Ann",,1,12/9/2019
240,9780671668785,Books,Fiction,Color Purple,"Walker, Alice",,2,8/29/2015
17299,9781453075517,Books,Board Books,Colorful World,"Disney, Enterprises, Inc.",,5,3/21/2017
4842,9780978930103,Books,Non-fiction,Coloring Outside The Lines,"Hyde, Mark D.",,1,10/5/2015
256,0531115305,Books,Young Adult,"Colors Of Freedom, The","Bode, Janet.",,1,9/19/2015
7950,0375502882,Books,Non-fiction,Colors Of The Mountain,"Chen, Da , 1962-",,0,3/24/2021
3242,,Puzzles,Puzzles,Colosseum,,,3,2/20/2016
17644,9780099298007,Books,,Colours of the Mountain,"Chen, Da",,1,2/20/2017
13739,0812530268,Books,Fiction,Columbo,"Harrington, William",,1,12/7/2015
3046,9781842120842,Books,Judd Dolle,Columbus And The Conquest Of The Impossible,"FernaÃÅndez-Armesto, Felipe.",,2,9/24/2015
12885,,DVDs,DVD,Columbus Day,,,3,12/14/2015
10867,9780671020644,Books,Fiction,Comanche Moon,"McMurtry, Larry",,0,12/3/2015
4641,0449702464,Books,Young Adult,Come A Stranger,"Voigt, Cynthia",,1,9/29/2015
22836,9780330347778,Books,Fiction,Come to Grief,"Francis, Dick",,5,11/24/2015
300320,9780307397553,Books,Fiction,"Come, Thou Tortoise","Grant, Jessica",,3,2/10/2016
5595,9780060792169,Books,Non-fiction,Comeback,"Fontaine, Claire.",,0,10/23/2015
19219,,Books,Fiction,"comedians, The","Greene, Graham , 1904-1991.",,5,2/27/2016
21210,9780375425134,Books,Hardcover fict,"Comforts Of A Muddy Saturday, The","McCall Smith, Alexander , 1948-",,1,8/3/2018
5967,038511334x,Books,Non-fiction,"comic Mark Twain reader, The","Twain, Mark , 1835-1910.",,0,11/7/2015
234867,9780307453426,Books,Non-fiction,Coming Apart,"Murray, Charles A.",,0,3/14/2020
5616,9780520260719,Books,Judd Dolle,"Coming Famine, The","Cribb, Julian.",,2,10/26/2015
4750,9780874775037,Books,Non-fiction,Coming Home,"Hixon, Lex.",,0,10/14/2015
19253,0439544076,Books,child adv. read,Coming Home ),"Brooke, Lauren",,0,12/2/2017
18743,0915943425,Books,Non-fiction,Coming Home Crazy,"Holm, Bill , 1943-2009.",,1,11/8/2017
18450,9780393323740,Books,Non-fiction,Coming home to eat,"Nabhan, Gary",,1,8/16/2017
17824,9780374522872,Books,Non-fiction,Coming Into The Country,"mcphee, john",,0,5/26/2017
16613,,Books,Non-fiction,Coming of age in Samoa,"Mead, Margaret , 1901-1978.",,1,1/14/2017
22785,9781439178379,Books,Non-fiction,"Coming Revolution, The","Phares, Walid , 1957-",,0,2/18/2019
4156,1423100182,Books,Young Adult,"Coming Storm, The","Kidd, Rob.",,1,9/24/2015
11462,9780679767855,Books,Fiction,Coming through slaughter,"Ondaatje, Michael , 1943-",,1,12/4/2015
15689,9780919123632,Books,Non-fiction,Coming to Age,"Pretat, Jane R.",,2,10/7/2016
20407,9780099549857,Books,Fiction,Command A Kings Ship,"Kent, Alexander",,1,4/27/2018
5788,9781594202278,Books,Non-fiction,Command And Control,"Schlosser, Eric.",,0,10/24/2015
14955,9781885983152,Books,Non-fiction,Committed to Memory,"Hollander, John",,0,6/15/2016
22023,9780521606844,Books,2nd language re,Common Mistakes At PET...And How To Avoid Them,"Driscoll, Liz",,0,12/17/2018
235684,9781400096053,Books,Fiction,"Commoner, The","Schwartz, John Burnham",,1,1/28/2020
18249,9780241141465,Books,Non-fiction,"commonplace book, A","Guinness, Alec , 1914-2000.",,1,7/29/2017
19668,9780062491831,Books,Fiction,Commonwealth,"Patchett, Ann",,7,2/28/2018
353,0292731957,Books,Judd Dolle,Communism In Mexico,"Schmitt, Karl Michael",,1,9/8/2015
13296,9780439783699,Books,child. Latin Am,Como mamaÃÅ,"MunÃÉoz, Isabel.",,4,2/1/2016
3060,9780679759409,Books,Judd Dolle,Companero,"CastanÃÉeda, Jorge G. , 1953-",,0,9/24/2015
300249,0671666541,Books,,"Companion To 20Th-Century Music, The","Lebrecht, Norman , 1948-",,0,3/3/2021
20527,0385420773,Books,Non-fiction,"Company Of Cats, The","Rosen, Michael J. , 1954-",,0,5/19/2018
234765,9780156027106,Books,Fiction,"Company Of Strangers, The","Wilson, Robert",,0,3/6/2020
1656,9780142002629,Books,Fiction,"Company, The","Littell, Robert , 1935-",,2,9/25/2015
4309,9780892816002,Books,Non-fiction,Compass Of The Heart,"Cruden, Loren , 1952-",,0,10/19/2015
7631,9780375702402,Books,Non-fiction,Compass Points,"Hoagland, Edward",,0,11/7/2015
18102,9780006280118,Books,Non-fiction,Compelling Reason,"Lewis, C S",,1,6/28/2017
17643,9780761151135,Books,,"complete book of breastfeeding, The","Olds, Sally Wendkos.",,0,2/20/2017
20036,0812046137,Books,Non-fiction,"Complete Book Of Cat Care, The","Behrend, Katrin.",,1,2/2/2018
776,9780345325594,Books,Judd Dolle,"Complete Book Of Mexican Cooking, The","Ortiz, Elisabeth Lambert.",,2,9/12/2015
6187,9780875961903,Books,Non-fiction,"Complete Book Of Natural & Medicinal Cures, The",,,1,10/27/2015
300207,9781409555513,Books,Young Adult,Complete Book Of The Microscope,"Rogers, Kirsteen",,0,2/25/2021
6591,9780679428954,Books,Non-fiction,"complete collected poems of Maya Angelou., The","Angelou, Maya.",,0,11/5/2015
234291,9781894102940,Books,Non-fiction,"Complete Dream Dictionary, The","Ball, Pamela J.",,0,12/26/2019
235723,0706407601,Books,Non-fiction,"Complete Encyclopedia Of The Animal World, The","Burn, David M.",,0,2/1/2020
22341,0553212389,Books,Short Stories,"Complete Fairy Tales Of The Brothers Grimm, The","Grimm, Jacob , 1785-1863.",,2,1/17/2019
235048,9780521698252,Books,2nd language re,Complete First Certificate,"Brook-Hart, Guy.",,0,8/31/2020
235050,9780521698313,Books,2nd language re,Complete First Certificate,"Brook-Hart, Guy.",,0,8/31/2020
235047,9780521698252,Books,2nd language re,Complete First Certificate,"Brook-Hart, Guy",,0,8/31/2020
22827,0764134450,Books,2nd language re,Complete French Grammar Review,"White, ReneÃÅe , 1938-",,0,3/4/2019
300803,9780762106349,Books,Non-fiction,"**Complete Guide To Houseplants, The","Bradley, Valerie.",,1,4/20/2021
300261,9780844276342,Books,Judd Dolle - Re,Complete Handbook Of Spanish Verbs,"Noble, Judith.",,0,3/3/2021
19821,9780892816569,Books,Non-fiction,"Complete I Ching, The","Huang, Alfred.",,0,3/26/2018
6668,1592574033,Books,Non-fiction,"complete idiot's guide to music composition, The","Miller, Michael , 1958-",,2,11/7/2015
2445,0517671522,Books,Non-fiction,"Complete Illustrated Book Of The Psychic Sciences, The","Gibson, Walter B.  (Walter Brown) , 1897-1985.",,0,10/2/2015
19428,0517633833,Books,child 800,Complete Mother Goose,"Betts, Ethel Franklin",,3,12/22/2017
22039,9780521746489,Books,2nd language re,Complete PET Student's Book Without Answers With CD-ROM,"Heyderman, Emma",,0,12/17/2018
22027,9780521746489,Books,2nd language re,Complete PET Student's Book Without Answers With CD-ROM,"Heyderman, Emma",,0,12/17/2018
6239,,Books,Non-fiction,"complete poems and plays 1909-1950, The","Eliot, T. S.  (Thomas Stearns) , 1888-1965",,1,11/5/2015
6251,9780316184137,Books,Non-fiction,"**complete poems of Emily Dickinson, The","Dickinson, Emily , 1830-1886.",,4,11/5/2015
52,0517385651,Books,Non-fiction,"Complete Poems Of William Shakespeare And Selected Verse From The Plays, The","Shakespeare, William , 1564-1616.",,0,8/24/2015
7745,076783006959,Books,Short Stories,"complete short stories of Mark Twain, The","Twain, Mark , 1835-1910.",,2,11/14/2015
7741,9780192815002,Books,Short Stories,Complete shorter fiction,"Wilde, Oscar , 1854-1900.",,1,11/14/2015
300260,051729365X,Books,Judd Dolle - Re,"Complete Unabridged Super Trivia Encyclopedia, The","Worth, Fred L.",,0,3/3/2021
6834,9780385260893,Books,Non-fiction,Complete Verse,"Kipling, Rudyard",,0,1/8/2016
5822,,Books,2nd language re,Comprehensive English Grammar,"Eckersley, C. E.",,0,10/28/2015
21629,9780701209841,Books,Non-fiction,Compton Mackenzie,"LINKLATER, Andro",,0,11/19/2018
19209,9780345509598,Books,Fiction,Compulsion,"Kellerman, Jonathan",,3,11/29/2017
21114,9780425225622,Books,Non-fiction,Comrade J,"Earley, Pete",,1,7/23/2018
18763,639277550279,Books,Fiction,Concealed in Death,"Robb, J. D.",,2,9/25/2017
21236,0060415282,Books,2nd language re,"Concept Approach To Spanish, A","Da Silva, Zenia Sacks.",,2,8/3/2018
234859,0689872429,Books,child adv. read,"Conch Bearer, The","Divakaruni, Chitra Banerjee , 1956-",,0,3/11/2020
1202,0500200149,Books,Judd Dolle,"Concise History Of Modern Sculpture, A","Read, Herbert , 1893-1968.",,0,9/17/2015
4240,9780385411479,Books,Non-fiction,"Concise History Of The Catholic Church, A","Bokenkotter, Thomas S.",,0,10/5/2015
23133,9780312355210,Books,Fiction,"Concubine's Daughter, The","Fai, Pai Kit , 1929-",,1,5/4/2019
3338,0449909174,Books,Non-fiction,Conduct unbecoming,"Shilts, Randy.",,0,3/16/2016
20582,9780395547038,Books,Fiction,"Confederate General From Big Sur, Dreaming Of Babylon, And The Hawkline Monster, A","Brautigan, Richard.",,1,5/28/2018
8604,9780060898625,Books,Non-fiction,"Confession, The","McGreevey, James E. , 1957-",,0,3/25/2021
234781,9780440245117,Books,Fiction,"Confession, The","Grisham, John",,0,3/6/2020
235930,9780385528047,Books,Hardcover fict,"Confession, The","Grisham, John.",,1,2/21/2020
21448,9780440244875,Books,Fiction,Confessions Of A Shopaholic,"Kinsella, Sophie",,0,10/26/2018
6442,9780760722299,Books,Non-fiction,Confessions of an Organized Homemaker,Schofield,,1,10/30/2015
21291,9780679739043,Books,Fiction,"Confessions Of Felix Krull, Confidence Man","Mann, Thomas",,1,9/22/2018
20878,6712732,Books,Hardcover fict,Confessions of Nat Turner,"Styron, William",,0,7/2/2018
20894,9780679722342,Books,Fiction,Confessions Of Zeno,"Svevo, Italo , 1861-1928.",,1,7/2/2018
,9780778311096,Books,Fiction,Confessions on the 7:45,"Unger, Lisa",,0,4/5/2021
4231,,Books,Non-fiction,Confessions Saint Augustine,,,1,10/5/2015
2269,9780399149726,Books,Hardcover fict,"Confessor, The","Silva, Daniel , 1960-",,4,9/29/2015
411,087484276,Books,Judd Dolle,"Conflict, Violence, And Morality In A Mexican Village","Romanucci-Ross, Lola.",,0,9/8/2015
5401,9780321047069,Books,Non-fiction,Conformity And Conflict,"Spradley, James P.",,0,10/23/2015
21246,9780330464536,Books,Non-fiction,Confucius From The Heart,"Dan, Yu",,1,8/6/2018
7974,9780679456247,Books,Non-fiction,Confucius Lives Next Door,"Reid, T. R.",,0,3/24/2021
17560,9780060541835,Books,Fiction,Congo,"Crichton, Michael",,3,11/21/2015
7317,9780140121391,Books,Non-fiction,Congo Journey,"Ohanlon, Redmond",,1,11/11/2015
300697,9780593134559,Books,Fiction,**Conjure Women,"Atakora, Afia",,1,4/9/2021
201,,Books,Fiction,"Connecticut yankee in King Arthur's court, A","Twain, Mark , 1835-1910.",,1,11/23/2015
21567,9780060916411,Books,Non-fiction,Connections To The World,"Danto, Arthur C.",,0,11/12/2018
5755,9780470567975,Books,Non-fiction,Conquer The Crash,"Prechter, Robert Rougelot.",,1,10/24/2015
21849,9780671511043,Books,Judd Dolle,Conquest,"Thomas, Hugh",,0,9/15/2015
982,9780804735223,Books,Judd Dolle,"Conquest Of The Last Maya Kingdom, The","Jones, Grant D. , 1941-",,0,9/17/2015
2205,9780307268327,Books,Fiction,Conquistadora,"Santiago, Esmeralda.",,3,9/23/2015
15926,9780743270366,Books,Hardcover fict,Consent to Kill,"Flynn, Vince",,2,11/8/2016
300727,,DVDs,DVD,Consenting Adults,,,0,4/10/2021
227,9781605710228,Books,Fiction,"Consequences Of Longing, A Novel, The","Boody, Peter.",,2,8/28/2015
17754,9780758281029,Books,Fiction,"consequences, The","Freedman, Colette.",,2,3/1/2017
17047,0316013323,Books,Non-fiction,Consider the Lobster and Other Essays,"Wallace, David Foster",,4,2/10/2017
895,9780151931033,Books,Fiction,"Consider This, Senora","Doerr, Harriet",,1,9/18/2015
234567,0345452585,Books,Fiction,"Conspiracy Club, The","Kellerman, Jonathan",,0,1/24/2020
21903,9780310278719,Books,Fiction,Conspiracy In Kiev,"Hynd, Noel",,1,12/16/2018
16162,9780767911795,Books,Non-fiction,Conspiracy Of Fools,"Eichenwald, Kurt",,1,10/24/2015
234965,9780307361868,Books,Fiction,"Conspiracy of Friends, A","McCall Smith, Alexander , 1948-",,0,3/21/2020
2304,9781552786659,Books,Fiction,Constance,"Philips, F.C.",,3,9/30/2015
1108,9780060973872,Books,Short Stories,Constancia And Other Stories For Virgins,"Fuentes, Carlos",,5,9/18/2015
235696,9780743272490,Books,Fiction,"constant princess, The","Gregory, Philippa.",,1,11/27/2015
17152,,DVDs,DVD,Constantine,,,3,4/12/2017
19877,9780618219087,Books,Non-fiction,Constantine's Sword,"Carroll, James",,0,3/28/2018
14090,9780770436421,Books,Fiction,"constellation of vital phenomena, A","Marra, Anthony.",,2,3/30/2016
17881,9780671004101,Books,Non-fiction,Contact,CARLSAGAN,,1,6/3/2017
13576,,DVDs,DVD,Contacto en Francia,,,2,12/14/2015
1339,0399141065,Books,Hardcover fict,Contagion,"Cook, Robin",,0,9/14/2015
300787,0671846485,Books,Non-fiction,Container Gardening,"Bales, Suzanne Frutig.",,0,4/20/2021
599,1586850881,Books,Judd Dolle,Contemporary Mexican Design And Architecture,"Villela, Khristaan.",,3,9/12/2015
21219,9780312990046,Books,Fiction,Contest,"Reilly, Matthew",,0,8/3/2018
8469,9781400030279,Books,Non-fiction,"Continent For The Taking, A","French, Howard W.",,0,3/24/2021
20347,0201523965,Books,Judd Dolle,"Continent Of Islands, A","Kurlansky, Mark.",,0,4/20/2018
8922,9780060956738,Books,Fiction,Continental Drift,"Banks, Russell",,2,11/12/2015
11488,9780618087839,Books,Fiction,"contract surgeon, The","O'Brien, Dan , 1947-",,0,12/4/2015
5803,9780801887802,Books,Non-fiction,"Contract With The Earth, A","Gingrich, Newt.",,0,10/24/2015
3892,9781580625692,Books,Non-fiction,Controlling People,"Evans, Patricia.",,0,10/5/2015
235233,9780201562347,Books,Non-fiction,"Controversy Of Zion, The","Wheatcroft, Geoffrey.",,0,10/26/2020
2882,9780689714016,Books,Children,"Conversation Club, The","Stanley, Diane.",,1,10/1/2015
22191,9780844273433,Books,2nd language re,Conversational Spanish,"KattaÃÅn-Ibarra, Juan.",,4,1/2/2019
6607,0452258022,Books,Non-fiction,Conversations with Capote,"Grobel, Lawrence",,1,11/5/2015
58,9781571741035,Books,Non-fiction,Conversations With God,"Walsch, Neale Donald",,1,8/25/2015
72,9781571740564,Books,Non-fiction,Conversations With God,"Walsch, Neale Donald",,2,8/24/2015
162,0399142789,Books,Non-fiction,Conversations with God Book 1,"Walsch, Neale Donald.",,4,11/11/2015
287,9780688107383,Books,Judd Dolle,Conversations with Moctezuma,"Reavis, Dick J.",,3,1/31/2017
8448,9780385669917,Books,Non-fiction,Conversations With Myself,"Mandela, Nelson",,1,3/17/2018
15943,0345450191,Books,Hardcover fict,Conviction,"Patterson, Richard North",,1,11/7/2016
2492,,Audiobooks,Audiobooks,Cooked,"Pollan, Michael",,1,8/22/2016
5192,033500925511,Books,pic. books hard,Cookie Monster and the Cookie Tree,"Korr, David",,0,10/14/2015
335,0316937525,Books,Judd Dolle,Cooking Techniques,"Cox, Beverly , 1945-",,1,9/8/2015
18252,9780679748298,Books,Non-fiction,Cooking with master chefs,"Child, Julia.",,0,7/29/2017
21692,0688151213,Books,Non-fiction,Cooking With Too Hot Tamales,"Milliken, Mary Sue.",,2,11/13/2018
2164,9789707395008,Books,2nd language re,Cool Time 3,"Henderson, Adriana Dopazo",,0,1/20/2016
2323,9781554685592,Books,Fiction,Cool Water,"Warren, Dianne",,2,9/30/2015
1637,9780812999228,Books,Fiction,Cop Town,"Slaughter, Karin",,6,9/14/2015
17686,9780770425166,Books,Fiction,Copper Peacock & Other Stories,"Rendell, Ruth",,4,12/9/2015
5292,,Books,child early rea,Copycat Dog,,,3,1/28/2017
20379,9780316729413,Books,Non-fiction,Coral,"Jones, Steve , 1944-",,0,4/23/2018
235744,9786078515097,Books,child. Latin Am,"CorazoÏÅN De PlutoÏÅN Y Otras Dulzuras, El","Cruz, Fer de la , 1971- , author.",,0,2/3/2020
4429,059075775x,Books,pic. books hard,Corduroy,"freeman, Don",,3,10/21/2015
3815,0590309072,Books,pic. books pape,Corduroy,"freeman, Don",,0,10/1/2015
14799,9780545042123,Books,pic. books hard,Corduroy's Sleepover,"Hennessy, B.G.",,7,5/9/2016
15534,9780679763970,Books,Fiction,Corelli's Mandolin,"Bernieres, Louis de",,3,9/14/2016
22581,9780967717715,Books,pic. books hard,Corneel At The Plaza,"York, Janet",,0,1/29/2019
10978,0143012738,Books,Fiction,"corner garden, The","Krueger, Lesley.",,0,12/2/2015
3962,0439388813,Books,Young Adult,"Corner Of The Universe, A","Martin, Ann M. , 1955-",,1,9/28/2015
,9780872866225,Books,,"Corner Of The World, A","FernaÃÅndez Pintado, Mylene , 1963-",,0,2/2/2019
234698,9781538731574,Books,Fiction,"Cornwalls Vanish  (Amy Cornwall (1)), The","Patterson, James",,1,2/28/2020
15626,9780593057520,Books,Short Stories,Coronado,"Lehane, Dennis",,2,8/18/2016
1382,9780399155390,Books,Hardcover fict,Corsair,"Cussler, Clive.",,0,9/19/2015
19320,156689039x,Books,Non-fiction,Corvus,"Hollo, Anselm.",,0,12/13/2017
4941,9780874779110,Books,Non-fiction,"Cosmic Serpent, The","Narby, Jeremy.",,2,10/19/2015
21437,9780743244244,Books,Hardcover fict,Cosmopolis,"DeLillo, Don",,1,10/22/2018
300551,9780062499844,Books,Fiction,"Cottingley Secret, The","Gaynor, Hazel , author.",,0,4/2/2021
300744,,DVDs,DVD,Cotton Mary,,,0,4/10/2021
6177,9781884956461,Books,Non-fiction,Could It Be B12?,"Pacholok, Sally M. , 1963-",,2,10/27/2015
2616,0307231062,Books,Child B.C.,"Count Counts A Party, The","Freudberg, Judy.",,0,10/14/2015
20889,9780451529701,Books,Fiction,"**Count Of Monte Cristo, The","Dumas, Alexandre , 1802-1870.",,1,7/2/2018
4531,070097002249,Books,Young Adult,"Count Of Monte Cristo, The","Dumas, Alexandre , 1802-1870.",,5,9/28/2015
234771,9781538759639,Books,Fiction,Count To Ten,"Patterson, James , 1947- , author.",,0,3/6/2020
15578,9780545106054,Books,Young Adult,Countdown,"Wiles, Deborah",,0,10/19/2016
11196,9780553586510,Books,Fiction,Countdown,"Johansen, Iris",,0,12/1/2015
5273,0439694523,Books,Child B.C.,Counting In The Garden,"Parker, Kim , 1963-",,9,10/14/2015
5274,0771569599,Books,Child B.C.,Counting My Friends,,,1,10/14/2015
11706,9780316622066,Books,pic. books hard,Counting Sheep to Sleep,"O'Brien, Mary",,1,1/12/2016
18638,9780061804106,Books,Non-fiction,Country Driving,"Hessler, Peter",,2,9/6/2017
234739,9780778310143,Books,Fiction,"Country Guesthouse, The","Carr, Robyn",,1,2/28/2020
11058,9780393327069,Books,Fiction,Country of Origin,"Lee, Don",,4,12/2/2015
235632,,Puzzles,Puzzles,Country Shed,,,0,1/4/2021
17172,9780375403705,Books,Judd Dolle,"country under my skin, The","Belli, Gioconda , 1948-",,2,4/19/2017
8069,9780441015672,Books,Science Fiction,Courageous,"Campbell, Jack",,0,12/12/2015
300562,9780385682657,Books,Fiction,Court Of Lions,"Johnson, Jane , 1960- , author.",,0,4/2/2021
235002,9780545288774,Books,child mid reade,Courtney The Clownfish Fairy,"Meadows, Daisy.",,0,3/28/2020
14084,1400082501,Books,Fiction,"courts of love, The","Plaidy, Jean , 1906-1993.",,1,3/30/2016
14252,0375400761,Books,Hardcover fict,Cousin Bette,"Balzac, Honore De",,3,3/30/2016
6791,0750933720,Books,Non-fiction,Cousins Divided,"Morrow, Ann",,0,11/11/2015
16607,0571204902,Books,Fiction,Cover Her Face,"James, P. D.",,3,1/13/2017
796,,Books,Judd Dolle,"Cow Killers"", ""The","Gipson, Fred , 1908-1973.",,1,9/12/2015
234483,9780374299248,Books,Non-fiction,Cowboys Full,"McManus, James.",,2,1/11/2020
,9780374299248,Books,Non-fiction,Cowboys Full,"McManus, James.",,0,1/11/2020
5549,9780679724681,Books,Non-fiction,"Cows, Pigs, Wars, And Witches","Harris, Marvin",,1,10/27/2015
